transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points,batch_version
TXN-000035,CUST-0223,2026-04-16,24.73,10,fuel,online,ES,27,4875,v3
TXN-000036,CUST-0149,2026-04-16,37.53,8,travel,online,FR,44,1697,v3
TXN-000037,CUST-0157,2026-02-27,24.53,3,groceries,in_store,US,74,1715,v3
TXN-000038,CUST-0111,2026-06-20,118.79,7,travel,mobile,GB,51,128,v3
TXN-000039,CUST-0187,2026-03-16,23.07,4,restaurants,mobile,FR,29,926,v3
TXN-000040,CUST-0058,2026-01-24,28.84,9,restaurants,online,ES,66,3951,v3
TXN-000041,CUST-0154,2026-05-04,14.63,10,restaurants,online,GB,75,3028,v3
TXN-000042,CUST-0288,2026-01-26,3.48,1,electronics,in_store,GB,77,673,v3
TXN-000043,CUST-0329,2026-03-30,86.51,2,restaurants,online,US,33,1469,v3
TXN-000044,CUST-0346,2026-01-06,15.83,6,healthcare,in_store,NL,36,3711,v3
TXN-000045,CUST-0249,2026-03-14,11.38,1,restaurants,in_store,NL,45,2268,v3
TXN-000046,CUST-0150,2026-02-22,29.38,3,restaurants,in_store,FR,64,2350,v3
TXN-000047,CUST-0203,2026-02-06,78.79,4,utilities,in_store,US,72,1680,v3
TXN-000048,CUST-0234,not-a-date,87.39,1,utilities,in_store,GB,28,4093,v3
TXN-000049,CUST-0236,2026-03-29,8.78,5,restaurants,mobile,ES,41,1114,v3
TXN-000050,CUST-0164,2026-06-22,20.43,6,groceries,mobile,GB,43,1688,v3
TXN-000051,CUST-0071,2026-04-13,33.95,11,electronics,in_store,GB,26,4632,v3
TXN-000052,CUST-0261,2026-04-25,112.57,9,restaurants,online,GB,74,722,v3
TXN-000053,CUST-0353,2026-04-20,26.6,5,electronics,online,NL,57,44,v3
TXN-000054,CUST-0046,2026-06-08,23.12,3,restaurants,in_store,FR,73,3547,v3
TXN-000055,CUST-0188,2026-06-01,8.75,8,healthcare,online,DE,31,4856,v3
TXN-000056,CUST-0228,2026-01-20,14.94,6,fuel,online,FR,39,4888,v3
TXN-000057,CUST-0251,2026-02-25,9.23,8,utilities,online,NL,39,2106,v3
TXN-000058,CUST-0210,2026-06-28,66.14,6,healthcare,in_store,NL,23,350,v3
TXN-000059,CUST-0334,2026-02-14,33.39,2,travel,in_store,GB,47,4872,v3
TXN-000060,CUST-0044,2026-06-14,4.56,1,healthcare,online,ES,21,1525,v3
TXN-000061,CUST-0116,2026-01-10,47.53,11,fuel,online,DE,74,unknown,v3
TXN-000062,CUST-0005,2026-04-26,17.54,8,restaurants,online,GB,37,3044,v3
TXN-000063,CUST-0100,2026-05-03,71.96,8,healthcare,online,GB,66,1636,v3
TXN-000064,CUST-0251,2026-02-07,11.78,3,restaurants,in_store,US,36,1371,v3
TXN-000065,CUST-0219,2026-05-31,6.47,7,groceries,online,GB,73,2846,v3
TXN-000066,CUST-0142,2026-06-19,56.7,5,electronics,online,NL,43,1871,v3
TXN-000067,CUST-0058,2026-01-09,41.62,1,healthcare,in_store,ES,77,4606,v3
TXN-000068,CUST-0290,31/02/2026,14.78,9,electronics,online,GB,80,4638,v3
TXN-000069,CUST-0319,2026-02-12,18.76,6,restaurants,online,GB,62,1769,v3
TXN-000070,CUST-0014,2026-03-26,24.58,5,travel,mobile,GB,71,n/a ,v3
TXN-000071,CUST-0350,2026-06-21,21.45,3,electronics,online,US,22,3233,v3
TXN-000072,CUST-0192,2026-06-03,-6.83,3,utilities,in_store,FR,44,894,v3
TXN-000073,CUST-0187,2026-06-25,20.27,1,utilities,online,US,49,3678,v3
TXN-000074,CUST-0174,2026-02-13,22.55,8,electronics,online,US,19,3367,v3
TXN-000075,CUST-0188,2026-06-10,19.8,7,utilities,online,US,37,3679,v3
TXN-000076,CUST-0333,2026-02-22,84.19,5,groceries,mobile,GB,55,2324,v3
TXN-000077,CUST-0312,2026-04-09,35.6,2,restaurants,in_store,FR,33,4684,v3
TXN-000078,CUST-0271,2026-06-13,56.93,3,fuel,in_store,US,33,983,v3
TXN-000079,CUST-0371,2026-06-28,14.26,7,electronics,in_store,US,58,2602,v3
TXN-000080,CUST-0286,2026-01-15,16.17,5,utilities,online,GB,43,2980,v3
TXN-000081,CUST-0289,2026-06-14,24.84,9,restaurants,in_store,DE,54,4969,v3
TXN-000082,CUST-0300,2026-04-22,5.48,7,electronics,online,GB,23,2957,v3
TXN-000083,CUST-0230,2026-06-09,15.7,5,utilities,online,GB,36,4662,v3
TXN-000084,CUST-0297,2026-01-26,8.8,3,travel,in_store,NL,61,2956,v3
TXN-000085,CUST-0105,2026-03-03,20.95,5,groceries,online,GB,58,1944,v3
TXN-000086,CUST-0310,2026-04-02,23.23,1,fuel,in_store,NL,62,1831,v3
TXN-000087,CUST-0322,2026-02-25,23.31,1,restaurants,in_store,US,28,1109,v3
TXN-000088,CUST-0384,2026-06-01,-21.07,4,travel,online,US,49,1119,v3
TXN-000089,CUST-0219,2026-01-15,25.41,4,healthcare,online,US,57,3753,v3
TXN-000090,CUST-0201,2026-02-12,18.39,2,restaurants,online,GB,79,3723,v3
TXN-000091,CUST-0245,2026-05-08,30.34,7,electronics,in_store,ES,25,379,v3
TXN-000092,CUST-0175,2026-03-18,38.41,2,fuel,in_store,GB,59,2493,v3
TXN-000093,CUST-0059,2026-04-27,21.34,3,electronics,online,FR,63,1216,v3
TXN-000094,CUST-0135,2026-05-01,10.88,8,fuel,in_store,US,41,3004,v3
TXN-000095,CUST-0222,2026-05-15,24.85,6,travel,online,DE,49,1906,v3
TXN-000096,CUST-0021,2026-05-18,14.09,5,electronics,online,US,29,3758,v3
TXN-000097,CUST-0325,2026-05-01,58.51,4,groceries,online,US,52,3144,v3
TXN-000098,CUST-0173,2026-06-01,29.02,7,groceries,online,GB,27,4261,v3
TXN-000099,CUST-0317,2026-02-09,23.87,7,restaurants,online,US,46,692,v3
TXN-000100,CUST-0025,2026-05-08,11.43,1,utilities,online,NL,73,2449,v3
TXN-000101,CUST-0289,2026-04-24,10.46,9,fuel,online,GB,32,3900,v3
TXN-000102,CUST-0045,2026-03-01,23.37,3,groceries,online,GB,70,4721,v3
TXN-000103,CUST-0199,2026-04-01,63.4,10,fuel,online,GB,60,1371,v3
TXN-000104,CUST-0232,2026-03-16,13.77,3,restaurants,in_store,US,25,3202,v3
TXN-000105,CUST-0065,2026-03-07,94.0,2,utilities,online,US,62,3985,v3
TXN-000106,CUST-0233,2026-03-31,17.78,7,healthcare,online,ES,79,3698,v3
TXN-000107,CUST-0017,2026-01-29,25.95,3,groceries,mobile,DE,77,1254,v3
TXN-000108,CUST-0322,2026-03-09,48.01,6,utilities,mobile,DE,23,1753,v3
TXN-000109,CUST-0017,2026-01-07,23.91,6,utilities,mobile,US,80,4844,v3
TXN-000110,CUST-0142,2026-02-08,30.61,10,restaurants,in_store,GB,79,1568,v3
TXN-000111,CUST-0069,2026-03-22,8.43,11,utilities,in_store,GB,40,2601,v3
TXN-000112,CUST-0351,2026-01-01,14.79,2,groceries,online,US,21,3052,v3
TXN-000113,CUST-0051,2026-06-17,41.3,5,groceries,in_store,GB,42,380,v3
TXN-000114,CUST-0207,2026-03-04,18.91,7,travel,in_store,GB,43,3714,v3
TXN-000115,CUST-0141,2026-03-23,74.04,11,travel,in_store,GB,53,584,v3
TXN-000116,CUST-0185,2026-01-29,18.26,4,groceries,online,GB,76,755,v3
TXN-000117,CUST-0316,2026-05-18,59.12,2,utilities,mobile,GB,75,2952,v3
TXN-000118,CUST-0332,2026-01-06,8.38,7,travel,in_store,GB,59,2687,v3
TXN-000119,CUST-0304,2026-04-03,33.29,4,travel,online,ES,44,735,v3
TXN-000120,CUST-0119,2026-03-06,17.32,5,groceries,online,GB,50,4203,v3
TXN-000121,CUST-0232,2026-03-15,17.61,11,groceries,in_store,US,70,4772,v3
TXN-000122,CUST-0270,2026-01-05,46.25,8,utilities,online,GB,43,616,v3
TXN-000123,CUST-0343,2026-05-16,19.98,1,restaurants,mobile,GB,33,1728,v3
TXN-000124,CUST-0209,2026-06-26,13.97,10,groceries,online,GB,42,2806,v3
TXN-000125,CUST-0255,2026-01-09,26.91,10,groceries,in_store,DE,39,4288,v3
TXN-000126,CUST-0021,2026-06-27,9.72,1,restaurants,online,NL,76,4607,v3
TXN-000127,CUST-0379,2026-06-23,41.47,6,healthcare,mobile,FR,48,2700,v3
TXN-000128,CUST-0187,2026-06-14,29.39,11,,online,US,74,179,v3
TXN-000129,CUST-0330,not-a-date,22.51,11,restaurants,in_store,GB,34,3721,v3
TXN-000130,CUST-0321,2026-05-04,20.23,1,restaurants,in_store,DE,45,3276,v3
TXN-000131,CUST-0355,2026-04-27,35.06,5,electronics,in_store,NL,77,4228,v3
TXN-000132,CUST-0001,2026-01-26,5.24,2,fuel,online,GB,39,3787,v3
TXN-000133,CUST-0240,2026-06-17,20.01,3,electronics,online,DE,42,1834,v3
TXN-000134,CUST-0384,2026-06-22,31.09,3,groceries,mobile,US,47,2301,v3
TXN-000135,CUST-0131,2026-03-23,43.5,7,fuel,mobile,NL,80,1363,v3
TXN-000136,CUST-0366,2026-03-17,12.94,4,restaurants,in_store,US,26,131,v3
TXN-000137,CUST-0191,2026-04-30,15.21,11,fuel,online,US,77,2921,v3
TXN-000138,CUST-0191,2026-03-08,50.0,4,groceries,online,US,20,1537,v3
TXN-000139,CUST-0279,2026-06-22,25.14,3,utilities,mobile,GB,40,2729,v3
TXN-000140,CUST-0384,2026-06-22,14.49,7,electronics,in_store,GB,19,2002,v3
TXN-000141,CUST-0338,2026-04-05,13.23,7,groceries,in_store,GB,68,3969,v3
TXN-000142,CUST-0384,2026-02-20,42.54,9,restaurants,mobile,GB,54,2154,v3
TXN-000143,CUST-0231,2026-05-23,44.37,6,restaurants,mobile,FR,51,3283,v3
TXN-000144,CUST-0147,2026-05-24,31.57,3,electronics,in_store,GB,22,4263,v3
TXN-000145,CUST-0193,2026-03-09,7.45,3,travel,mobile,DE,33,2805,v3
TXN-000146,CUST-0052,2026-05-14,15.27,11,groceries,in_store,GB,51,1685,v3
TXN-000147,CUST-0299,2026-01-15,8.45,9,groceries,in_store,GB,69,671,v3
TXN-000148,CUST-0381,2026-06-14,22.99,10,restaurants,in_store,ES,24,3929,v3
TXN-000149,CUST-0296,2026-03-13,37.91,10,utilities,in_store,US,68,1598,v3
TXN-000150,CUST-0272,2026-01-19,58.01,1,healthcare,in_store,GB,71,412,v3
TXN-000151,CUST-0016,2026-03-16,10.13,10,healthcare,online,GB,54,1309,v3
TXN-000152,CUST-0267,2026-06-09,-24.18,8,electronics,online,US,32,2155,v3
TXN-000153,CUST-0010,2026-04-04,5.91,11,groceries,online,US,35,2532,v3
TXN-000154,CUST-0395,2026-02-23,35.49,9,,online,GB,59,1839,v3
TXN-000155,CUST-0364,2026-01-24,78.98,7,groceries,in_store,US,70,1800,v3
TXN-000156,CUST-0185,2026-03-26,14.07,4,restaurants,in_store,GB,64,2324,v3
TXN-000157,CUST-0036,2026-03-16,30.36,11,groceries,in_store,GB,33,967,v3
TXN-000158,CUST-0370,2026-06-27,54.71,7,restaurants,mobile,GB,40,3267,v3
TXN-000159,CUST-0279,2026-06-15,67.0,10,restaurants,in_store,FR,49,2173,v3
TXN-000160,CUST-0073,2026-05-12,21.92,11,utilities,online,DE,42,1314,v3
TXN-000161,CUST-0253,2026-05-05,12.81,10,groceries,in_store,FR,73,2132,v3
TXN-000162,CUST-0232,2026-03-20,15.85,4,electronics,in_store,DE,23,858,v3
TXN-000163,CUST-0259,2026-02-17,11.44,2,restaurants,in_store,DE,59,1813,v3
TXN-000164,CUST-0200,2026-05-07,14.25,9,travel,mobile,DE,36,1886,v3
TXN-000165,CUST-0117,31/02/2026,36.64,7,restaurants,mobile,GB,57,315,v3
TXN-000166,CUST-0395,2026-01-23,21.76,6,utilities,mobile,NL,40,2417,v3
TXN-000167,CUST-0032,2026-04-18,77.87,4,   ,online,FR,54,3929,v3
TXN-000168,CUST-0192,2026-05-24,15.85,2,groceries,online,US,79,3514,v3
TXN-000169,CUST-0126,2026-02-25,8.91,6,healthcare,online,US,41,834,v3
TXN-000170,CUST-0173,2026-05-24,24.27,8,healthcare,in_store,US,77,2287,v3
TXN-000171,CUST-0312,2026-06-07,21.41,7,fuel,online,DE,57,1110,v3
TXN-000172,CUST-0268,2026-01-25,8.18,5,electronics,mobile,GB,18,1523,v3
TXN-000173,CUST-0244,2026-01-24,8.53,8,groceries,mobile,FR,57,3920,v3
TXN-000174,CUST-0332,2026-06-15,106.87,-1,restaurants,mobile,GB,25,347,v3
TXN-000175,CUST-0011,2026-02-12,88.49,6,restaurants,mobile,US,81,3583,v3
TXN-000176,CUST-0367,2026-05-15,25.03,11,fuel,online,US,74,4362,v3
TXN-000177,CUST-0159,2026-06-25,21.19,10,groceries,online,ES,69,3803,v3
TXN-000178,CUST-0096,2026-06-26,-10.48,6,fuel,online,GB,69,3128,v3
TXN-000179,CUST-0205,2026-03-17,12.0,8,electronics,in_store,GB,41,1414,v3
TXN-000180,CUST-0173,2026-03-05,21.93,9,restaurants,online,DE,79,2090,v3
TXN-000181,CUST-0266,2026-02-16,21.79,6,travel,mobile,US,69,4282,v3
TXN-000182,CUST-0336,2026-06-08,41.27,9,  ,online,NL,18,1997,v3
TXN-000183,CUST-0085,2026-06-25,35.12,2,fuel,online,GB,53,1844,v3
TXN-000184,CUST-0324,2026-04-09,28.19,4,healthcare,in_store,FR,36,1676,v3
TXN-000185,CUST-0312,2026-04-18,4.6,9,restaurants,online,US,20,1520,v3
TXN-000186,CUST-0154,2026-01-16,17.98,6,   ,in_store,DE,75,1613,v3
TXN-000187,CUST-0169,2026-01-03,7.62,7,fuel,in_store,US,21,3897,v3
TXN-000188,CUST-0362,2026-06-06,23.24,6,groceries,in_store,US,25,3945,v3
TXN-000189,CUST-0187,2026-03-01,8.26,8,restaurants,online,DE,59,2535,v3
TXN-000190,CUST-0166,2026-01-24,23.22,6,utilities,mobile,FR,45,286,v3
TXN-000191,CUST-0061,2026-03-03,14.03,11,groceries,in_store,FR,52,2295,v3
TXN-000192,CUST-0307,2026-06-22,20.11,-1,restaurants,in_store,DE,48,3341,v3
TXN-000193,CUST-0200,2026-02-01,59.65,6,utilities,online,US,46,3229,v3
TXN-000194,CUST-0140,2026-05-10,12.7,11,electronics,in_store,US,20,2213,v3
TXN-000195,CUST-0143,2026-05-22,29.06,3,travel,online,NL,69,1813,v3
TXN-000196,CUST-0063,2026-05-25,72.76,8,travel,online,NL,43,2696,v3
TXN-000197,CUST-0319,2026-03-08,11.01,-1,healthcare,mobile,DE,78,1216,v3
TXN-000198,CUST-0379,2026-04-24,14.12,5,restaurants,online,DE,33,61,v3
TXN-000199,CUST-0332,2026-03-21,71.97,1,restaurants,mobile,DE,65,1141,v3
TXN-000200,CUST-0013,2026-06-25,39.07,2,healthcare,mobile,US,73,4284,v3
TXN-000201,CUST-0112,2026-04-09,49.68,4,fuel,online,US,24,2662,v3
TXN-000202,CUST-0390,2026-03-08,15.96,10,utilities,mobile,US,54,2883,v3
TXN-000203,CUST-0235,2026-05-04,17.06,7,fuel,online,ES,29,58,v3
TXN-000204,CUST-0338,2026-05-10,37.44,5,restaurants,in_store,FR,66,4839,v3
TXN-000205,CUST-0338,2026-01-18,21.87,9,electronics,in_store,GB,78,4450,v3
TXN-000206,CUST-0317,2026-01-29,10.95,7,fuel,in_store,NL,40,4902,v3
TXN-000207,CUST-0018,2026-13-45,15.8,11,restaurants,online,GB,54,2046,v3
TXN-000208,CUST-0398,2026-01-15,13.38,7,travel,in_store,GB,52,1621,v3
TXN-000209,CUST-0385,2026-01-26,78.51,10,groceries,in_store,US,47,2321,v3
TXN-000210,CUST-0292,2026-04-29,48.18,4,,online,DE,60,4539,v3
TXN-000211,CUST-0285,2026-13-45,29.41,8,travel,online,NL,49,568,v3
TXN-000212,CUST-0017,2026-03-25,24.58,3,utilities,online,GB,65,1668,v3
TXN-000213,CUST-0204,2026-03-24,7.13,10,travel,online,ES,80,4798,v3
TXN-000214,CUST-0176,2026-06-26,176.01,7,utilities,online,US,36,157,v3
TXN-000215,CUST-0092,2026-05-03,27.62,3,restaurants,mobile,GB,64,157,v3
TXN-000216,CUST-0151,2026-05-02,37.5,9,healthcare,online,US,33,2911,v3
TXN-000217,CUST-0098,2026-04-02,7.88,11,electronics,mobile,DE,22,1620,v3
TXN-000218,CUST-0001,2026-05-25,33.41,-1,electronics,in_store,GB,54,3973,v3
TXN-000219,CUST-0005,2026-01-23,47.6,4,groceries,in_store,FR,67,4071,v3
TXN-000220,CUST-0086,2026-06-07,22.01,3,utilities,in_store,DE,81,2667,v3
TXN-000221,CUST-0112,2026-02-06,39.77,7,fuel,mobile,US,59,3042,v3
TXN-000222,CUST-0093,2026-03-11,28.9,7,fuel,online,US,40,2191,v3
TXN-000223,CUST-0105,2026-04-29,16.67,1,fuel,mobile,NL,60,4896,v3
TXN-000224,CUST-0252,2026-06-18,47.03,2,electronics,in_store,GB,69,4296,v3
TXN-000225,CUST-0042,2026-03-05,6.43,5,electronics,mobile,US,55,4247,v3
TXN-000226,CUST-0106,2026-04-02,45.23,8,utilities,online,FR,50,1365,v3
TXN-000227,CUST-0379,2026-04-07,-19.49,10,restaurants,in_store,GB,18,148,v3
TXN-000228,CUST-0242,2026-04-05,10.27,4,fuel,in_store,GB,47,1474,v3
TXN-000229,CUST-0054,2026-04-23,15.83,8,fuel,in_store,DE,31,4492,v3
TXN-000230,CUST-0336,2026-03-07,69.32,3,travel,in_store,US,29,2053,v3
TXN-000231,CUST-0192,2026-06-15,42.59,9,fuel,online,FR,40,4903,v3
TXN-000232,CUST-0350,2026-03-02,35.59,10,electronics,online,FR,48,2348,v3
TXN-000233,CUST-0122,2026-04-15,23.06,4,travel,in_store,US,64,4438,v3
TXN-000234,CUST-0046,2026-01-19,98.02,1,travel,mobile,DE,43,2906,v3
TXN-000235,CUST-0290,2026-01-27,5.31,-1,travel,in_store,NL,69,2097,v3
TXN-000236,CUST-0324,2026-06-13,25.26,6,healthcare,in_store,US,36,2349,v3
TXN-000237,CUST-0099,2026-03-11,11.84,3,electronics,in_store,DE,64,3790,v3
TXN-000238,CUST-0278,2026-05-07,125.0,-1,restaurants,online,NL,38,1309,v3
TXN-000239,CUST-0139,2026-02-09,24.38,1,healthcare,mobile,GB,78,unknown,v3
TXN-000240,CUST-0187,2026-04-14,25.36,1,electronics,online,DE,51,1662,v3
TXN-000241,CUST-0249,2026-01-05,38.49,11,healthcare,mobile,DE,48,4189,v3
TXN-000242,CUST-0321,2026-05-01,26.01,8,utilities,in_store,US,73,3138,v3
TXN-000243,CUST-0393,2026-06-12,31.18,2,groceries,in_store,GB,60,4687,v3
TXN-000244,CUST-0176,2026-04-16,54.72,6,fuel,online,US,74,3443,v3
TXN-000245,CUST-0355,2026-01-29,140.2,8,groceries,in_store,DE,61,4687,v3
TXN-000246,CUST-0113,2026-04-21,41.0,8,groceries,in_store,GB,58,2578,v3
TXN-000247,CUST-0171,2026-05-09,14.95,10,utilities,mobile,GB,74,1064,v3
TXN-000248,CUST-0112,2026-02-07,20.29,5,groceries,online,GB,70,3267,v3
TXN-000249,CUST-0127,2026-03-29,36.31,8,healthcare,mobile,DE,33,205,v3
TXN-000250,CUST-0197,2026-02-21,18.85,8,fuel,in_store,US,23,2121,v3
TXN-000251,CUST-0177,2026-05-26,-13.07,9,restaurants,mobile,GB,35,3908,v3
TXN-000252,CUST-0070,2026-05-21,6.41,7,utilities,online,GB,26,4542,v3
TXN-000253,CUST-0263,2026-05-11,6.65,2,groceries,in_store,DE,74,4153,v3
TXN-000254,CUST-0218,2026-02-13,14.38,6,utilities,online,GB,62,2651,v3
TXN-000255,CUST-0030,2026-05-17,17.17,3,healthcare,online,GB,55,3017,v3
TXN-000256,CUST-0056,2026-01-02,42.22,5,restaurants,mobile,FR,59,1826,v3
TXN-000257,CUST-0356,2026-05-16,-18.26,9,utilities,in_store,US,53,2540,v3
TXN-000258,CUST-0226,2026-05-12,11.93,2,electronics,online,GB,51,422,v3
TXN-000259,CUST-0279,2026-03-08,15.45,6,electronics,in_store,US,47,110,v3
TXN-000260,CUST-0389,2026-01-18,58.0,9,utilities,online,DE,18,3234,v3
TXN-000261,CUST-0296,2026-04-18,6.17,9,utilities,in_store,GB,74,1321,v3
TXN-000262,CUST-0308,2026-06-22,17.93,4,utilities,in_store,US,60,2572,v3
TXN-000263,CUST-0002,2026-03-23,12.69,2,groceries,online,GB,31,4145,v3
TXN-000264,CUST-0107,2026-05-15,22.18,7,utilities,online,GB,57,122,v3
TXN-000265,CUST-0006,31/02/2026,27.39,6,travel,mobile,US,29,2464,v3
TXN-000266,CUST-0035,2026-06-21,14.31,8,electronics,in_store,DE,61,2215,v3
TXN-000267,CUST-0009,2026-01-15,51.26,3,fuel,online,US,46,3784,v3
TXN-000268,CUST-0022,2026-01-03,7.5,4,restaurants,mobile,GB,51,337,v3
TXN-000269,CUST-0386,2026-04-04,19.77,4,utilities,in_store,GB,40,3938,v3
TXN-000270,CUST-0199,2026-06-21,2.64,1,healthcare,mobile,DE,51,4281,v3
TXN-000271,CUST-0380,2026-01-08,50.1,9,utilities,online,US,62,4287,v3
TXN-000272,CUST-0375,2026-02-22,33.55,8,travel,mobile,FR,78,416,v3
TXN-000273,CUST-0231,2026-01-07,22.25,4,groceries,mobile,GB,46,2578,v3
TXN-000274,CUST-0340,2026-05-28,78.93,4,electronics,mobile,US,64,951,v3
TXN-000275,CUST-0267,2026-01-08,55.29,8,travel,in_store,FR,41,3935,v3
TXN-000276,CUST-0249,2026-05-02,25.17,1,electronics,online,GB,48,2639,v3
TXN-000277,CUST-0003,2026-01-13,18.88,7,travel,in_store,US,20,4453,v3
TXN-000278,CUST-0327,2026-01-06,9.77,9,,in_store,DE,22,2649,v3
TXN-000279,CUST-0098,2026-05-08,-37.61,11,utilities,in_store,GB,53,2354,v3
TXN-000280,CUST-0021,2026-02-15,69.51,4,electronics,in_store,US,24,4367,v3
TXN-000281,CUST-0301,2026-06-19,27.74,4,fuel,in_store,US,33,351,v3
TXN-000282,CUST-0059,2026-06-05,10.36,10,fuel,online,GB,42,1802,v3
TXN-000283,CUST-0017,2026-05-19,20.73,5,travel,online,NL,72,72,v3
TXN-000284,CUST-0234,2026-02-18,20.85,6,healthcare,online,GB,43,1322,v3
TXN-000285,CUST-0198,2026-05-23,83.45,11,groceries,mobile,US,56,3759,v3
TXN-000286,CUST-0291,2026-04-06,31.34,7,electronics,online,GB,23,3390,v3
TXN-000287,CUST-0021,2026-03-15,16.19,9,healthcare,mobile,FR,31,4744,v3
TXN-000288,CUST-0143,2026-06-15,11.88,8,healthcare,mobile,US,69,226,v3
TXN-000289,CUST-0089,2026-03-31,41.52,11,fuel,in_store,GB,22,915,v3
TXN-000290,CUST-0101,2026-06-04,104.79,2,fuel,online,FR,51,386,v3
TXN-000291,CUST-0162,2026-04-11,29.72,-1,   ,mobile,ES,35,1714,v3
TXN-000292,CUST-0287,2026-06-13,115.23,5,electronics,mobile,GB,24,1835,v3
TXN-000293,CUST-0346,2026-06-09,25.64,10,fuel,mobile,US,73,949,v3
TXN-000294,CUST-0168,2026-06-18,76.73,7,restaurants,online,GB,81,2471,v3
TXN-000295,CUST-0091,2026-01-21,49.38,2,travel,online,NL,43,1541,v3
TXN-000296,CUST-0219,2026-02-06,13.14,4,restaurants,in_store,DE,69,529,v3
TXN-000297,CUST-0197,2026-05-28,15.49,10,groceries,online,DE,55,2003,v3
TXN-000298,CUST-0205,2026-04-12,59.31,3,utilities,in_store,GB,74,4004,v3
TXN-000299,CUST-0211,2026-04-22,17.23,4,groceries,in_store,ES,50,4800,v3
TXN-000300,CUST-0247,2026-03-24,10.56,9,utilities,online,DE,24,162,v3
TXN-000301,CUST-0027,2026-03-06,28.96,7,healthcare,mobile,GB,28,n/a ,v3
TXN-000302,CUST-0030,2026-04-10,81.22,1,fuel,online,US,29,2000,v3
TXN-000303,CUST-0396,,24.83,7,groceries,online,GB,25,4080,v3
TXN-000304,CUST-0346,2026-05-14,84.08,6,healthcare,mobile,US,20,2053,v3
TXN-000305,CUST-0037,2026-06-01,16.17,9,healthcare,online,GB,44,85,v3
TXN-000306,CUST-0167,2026-03-21,18.68,3,healthcare,in_store,DE,20,4666,v3
TXN-000307,CUST-0187,2026-01-04,13.35,9,fuel,in_store,DE,20,317,v3
TXN-000308,CUST-0255,2026-03-30,71.74,5,healthcare,online,DE,27,2243,v3
TXN-000309,CUST-0197,2026-04-19,42.53,2,fuel,in_store,GB,49,2782,v3
