transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points,promo_code
TXN-000058,CUST-0210,2026-03-09,25.95,2.0,healthcare,in_store,GB,40.0,,
TXN-000059,CUST-0334,2026-01-07,48.01,6.0,fuel,in_store,US,80.0,4182.0,
TXN-000060,CUST-0044,2026-02-08,23.91,9.0,groceries,online,,38.0,4978.0,
TXN-000061,CUST-0116,2026-03-22,30.61,9.0,fuel,online,GB,51.0,,
TXN-000062,CUST-0005,2026-01-01,8.43,4.0,healthcare,online,US,,,
TXN-000063,CUST-0100,2026-06-17,14.79,2.0,groceries,online,GB,22.0,,SPRING10
TXN-000064,CUST-0251,2026-03-04,41.3,7.0,fuel,online,GB,65.0,,
TXN-000065,CUST-0219,2026-03-23,18.91,6.0,utilities,mobile,US,25.0,,
TXN-000066,CUST-0142,2026-01-29,74.04,8.0,utilities,online,DE,27.0,4337.0,
TXN-000067,CUST-0058,2026-05-18,18.26,3.0,travel,mobile,US,55.0,1673.0,
TXN-000068,CUST-0290,2026-01-06,59.12,4.0,healthcare,in_store,GB,52.0,3806.0,
TXN-000069,CUST-0319,2026-04-03,8.38,4.0,utilities,in_store,GB,,,
TXN-000070,CUST-0014,2026-03-06,33.29,1.0,electronics,in_store,DE,71.0,2724.0,
TXN-000071,CUST-0350,2026-03-15,17.32,9.0,travel,mobile,US,79.0,,
TXN-000072,CUST-0192,2026-01-05,17.61,8.0,utilities,online,FR,25.0,,
TXN-000073,CUST-0187,2026-05-16,46.25,4.0,travel,mobile,GB,40.0,,
TXN-000074,CUST-0174,2026-06-26,19.98,4.0,restaurants,in_store,US,53.0,1805.0,
TXN-000075,CUST-0188,2026-01-09,13.97,8.0,groceries,mobile,FR,72.0,1370.0,
TXN-000076,CUST-0333,2026-06-27,26.91,1.0,healthcare,online,GB,76.0,,
TXN-000077,CUST-0312,2026-06-23,9.72,7.0,restaurants,in_store,US,52.0,,
TXN-000078,CUST-0271,2026-06-14,41.47,9.0,groceries,in_store,DE,20.0,4802.0,
TXN-000079,CUST-0371,2026-03-02,29.39,11.0,healthcare,in_store,GB,65.0,,WELCOME
TXN-000080,CUST-0286,2026-05-04,22.51,4.0,groceries,in_store,US,59.0,234.0,
TXN-000081,CUST-0289,2026-04-27,20.23,4.0,restaurants,online,US,72.0,616.0,
TXN-000082,CUST-0300,2026-01-26,35.06,10.0,healthcare,online,GB,,,
TXN-000083,CUST-0230,2026-06-17,5.24,5.0,utilities,in_store,NL,41.0,553.0,
TXN-000084,CUST-0297,2026-06-22,20.01,6.0,travel,mobile,GB,47.0,,
TXN-000085,CUST-0105,2026-03-23,31.09,11.0,fuel,in_store,US,,2735.0,
TXN-000086,CUST-0310,2026-03-17,43.5,7.0,groceries,in_store,GB,19.0,,
TXN-000087,CUST-0322,2026-04-30,12.94,9.0,electronics,in_store,FR,,4429.0,
TXN-000088,CUST-0384,2026-03-08,15.21,8.0,groceries,online,US,,,
TXN-000089,CUST-0219,2026-06-22,50.0,11.0,groceries,mobile,GB,52.0,,
TXN-000090,CUST-0201,2026-06-22,25.14,2.0,restaurants,online,FR,43.0,3143.0,
TXN-000091,CUST-0245,2026-04-05,14.49,10.0,electronics,mobile,ES,68.0,4899.0,
TXN-000092,CUST-0175,2026-02-20,13.23,5.0,groceries,in_store,,45.0,1281.0,
TXN-000093,CUST-0059,2026-05-23,42.54,10.0,electronics,in_store,US,60.0,154.0,
TXN-000094,CUST-0135,2026-05-24,44.37,7.0,healthcare,online,GB,72.0,2577.0,
TXN-000095,CUST-0222,2026-03-09,31.57,2.0,electronics,in_store,NL,53.0,,
TXN-000096,CUST-0021,2026-05-14,7.45,4.0,utilities,in_store,DE,39.0,1712.0,
TXN-000097,CUST-0325,2026-01-15,15.27,10.0,travel,mobile,DE,26.0,,
TXN-000098,CUST-0173,2026-06-14,8.45,3.0,electronics,online,,,,
TXN-000099,CUST-0317,2026-03-13,22.99,4.0,electronics,mobile,ES,38.0,2789.0,
TXN-000100,CUST-0025,2026-01-19,37.91,9.0,utilities,in_store,DE,23.0,587.0,
TXN-000101,CUST-0289,2026-03-16,58.01,7.0,utilities,mobile,GB,34.0,2494.0,
TXN-000102,CUST-0045,2026-06-09,10.13,1.0,restaurants,online,US,45.0,4177.0,
TXN-000103,CUST-0199,2026-04-04,24.18,7.0,utilities,in_store,GB,,3745.0,
TXN-000104,CUST-0232,2026-02-23,5.91,6.0,utilities,online,US,,1012.0,
TXN-000105,CUST-0065,2026-01-24,35.49,9.0,healthcare,online,GB,41.0,1842.0,
TXN-000106,CUST-0233,2026-03-26,78.98,3.0,healthcare,mobile,DE,47.0,2225.0,
TXN-000107,CUST-0017,2026-03-16,14.07,9.0,travel,in_store,DE,,4441.0,
TXN-000108,,,,,,,,,,
TXN-000109,CUST-0017,2026-06-15,54.71,2.0,groceries,in_store,GB,,3565.0,
TXN-000110,CUST-0142,2026-05-12,67.0,1.0,electronics,online,GB,34.0,2225.0,SPRING10
TXN-000111,CUST-0069,2026-05-05,21.92,5.0,healthcare,in_store,US,45.0,,
TXN-000112,CUST-0351,2026-03-20,12.81,10.0,travel,in_store,DE,28.0,,
TXN-000113,CUST-0051,2026-02-17,15.85,2.0,travel,online,GB,41.0,237.0,
TXN-000114,CUST-0207,2026-05-07,11.44,7.0,healthcare,online,DE,42.0,2869.0,
TXN-000115,CUST-0141,2026-01-13,14.25,1.0,utilities,mobile,US,22.0,3938.0,SPRING10
TXN-000116,CUST-0185,2026-01-23,36.64,1.0,restaurants,in_store,US,,550.0,
TXN-000117,CUST-0316,2026-04-18,21.76,10.0,travel,online,GB,68.0,4313.0,
TXN-000118,CUST-0332,2026-05-24,77.87,7.0,utilities,mobile,US,62.0,,
TXN-000119,CUST-0304,2026-02-25,15.85,6.0,electronics,in_store,NL,28.0,,
TXN-000120,CUST-0119,2026-05-24,8.91,11.0,groceries,mobile,US,47.0,,
TXN-000121,CUST-0232,2026-06-07,24.27,8.0,healthcare,online,GB,32.0,,
TXN-000122,,,,,,,,,3369.0,
TXN-000123,CUST-0343,2026-01-24,8.18,7.0,travel,mobile,US,,,
TXN-000124,,,,,,,,,4974.0,
TXN-000125,CUST-0255,2026-02-12,106.87,4.0,groceries,in_store,DE,63.0,,
TXN-000126,CUST-0021,2026-05-15,88.49,4.0,electronics,online,GB,73.0,4281.0,
TXN-000127,CUST-0379,2026-06-25,25.03,6.0,utilities,in_store,GB,66.0,4700.0,
TXN-000128,CUST-0187,2026-06-26,21.19,4.0,groceries,in_store,FR,58.0,2904.0,WELCOME
TXN-000129,CUST-0330,2026-03-17,10.48,1.0,electronics,in_store,US,36.0,2760.0,
TXN-000130,CUST-0321,2026-03-05,12.0,10.0,fuel,in_store,FR,44.0,2496.0,SPRING10
TXN-000131,CUST-0355,2026-02-16,21.93,10.0,electronics,in_store,GB,72.0,,
TXN-000132,CUST-0001,2026-06-08,21.79,9.0,healthcare,online,GB,43.0,,
TXN-000133,CUST-0240,2026-06-25,41.27,11.0,fuel,online,FR,,,
TXN-000134,CUST-0384,2026-04-09,35.12,3.0,travel,online,GB,39.0,,
TXN-000135,CUST-0131,2026-04-18,28.19,3.0,restaurants,mobile,NL,37.0,,
TXN-000136,CUST-0366,2026-01-16,4.6,11.0,groceries,online,FR,38.0,,
TXN-000137,CUST-0191,2026-01-03,17.98,11.0,travel,mobile,GB,67.0,,
TXN-000138,CUST-0191,2026-06-06,7.62,1.0,restaurants,mobile,GB,68.0,805.0,
TXN-000139,CUST-0279,2026-03-01,23.24,1.0,healthcare,in_store,GB,50.0,3194.0,
TXN-000140,CUST-0384,2026-01-24,8.26,10.0,healthcare,online,FR,21.0,,WELCOME
TXN-000141,CUST-0338,2026-03-03,23.22,10.0,electronics,mobile,GB,47.0,4358.0,
TXN-000142,CUST-0384,2026-06-22,14.03,10.0,groceries,mobile,US,60.0,,
TXN-000143,CUST-0231,2026-02-01,20.11,4.0,groceries,mobile,GB,59.0,492.0,
TXN-000144,CUST-0147,2026-05-10,59.65,3.0,groceries,online,GB,46.0,,
TXN-000145,CUST-0193,2026-05-22,12.7,1.0,restaurants,online,NL,,4847.0,
TXN-000146,CUST-0052,2026-05-25,29.06,9.0,groceries,in_store,GB,52.0,196.0,
TXN-000147,CUST-0299,2026-03-08,72.76,6.0,electronics,online,GB,33.0,,
TXN-000148,CUST-0381,2026-04-24,11.01,3.0,groceries,in_store,GB,,2600.0,
TXN-000149,CUST-0296,2026-03-21,14.12,7.0,restaurants,in_store,GB,32.0,,
TXN-000150,CUST-0272,2026-06-25,71.97,8.0,groceries,online,GB,72.0,,
TXN-000151,CUST-0016,2026-04-09,39.07,6.0,restaurants,mobile,ES,52.0,3851.0,VIP
TXN-000152,CUST-0267,2026-03-08,49.68,9.0,electronics,online,GB,54.0,,
TXN-000153,CUST-0010,2026-05-04,15.96,10.0,travel,online,GB,18.0,1629.0,
TXN-000154,CUST-0395,2026-05-10,17.06,9.0,healthcare,mobile,GB,79.0,2520.0,
TXN-000155,CUST-0364,2026-01-18,37.44,6.0,restaurants,online,GB,74.0,1100.0,
TXN-000156,CUST-0185,2026-01-29,21.87,4.0,healthcare,in_store,US,,3215.0,
TXN-000157,CUST-0036,2026-03-20,10.95,6.0,utilities,in_store,GB,44.0,,
TXN-000158,CUST-0370,2026-01-15,15.8,8.0,utilities,online,DE,38.0,4698.0,
TXN-000159,CUST-0279,2026-01-26,13.38,3.0,fuel,in_store,US,,,
TXN-000160,CUST-0073,2026-04-29,78.51,1.0,groceries,mobile,DE,76.0,,
TXN-000161,CUST-0253,2026-03-22,48.18,7.0,groceries,online,,25.0,507.0,
TXN-000162,CUST-0232,2026-03-25,29.41,2.0,electronics,mobile,GB,39.0,,
TXN-000163,CUST-0259,2026-03-24,24.58,4.0,healthcare,in_store,ES,79.0,1031.0,
TXN-000164,CUST-0200,2026-06-26,7.13,7.0,groceries,online,GB,20.0,143.0,
TXN-000165,CUST-0117,2026-05-03,176.01,3.0,fuel,in_store,GB,20.0,4016.0,SPRING10
TXN-000166,CUST-0395,2026-05-02,27.62,11.0,groceries,online,ES,,2019.0,
TXN-000167,CUST-0032,2026-04-02,37.5,3.0,utilities,online,GB,38.0,1667.0,
TXN-000168,CUST-0192,2026-05-25,7.88,4.0,electronics,in_store,ES,68.0,4907.0,
TXN-000169,CUST-0126,2026-01-23,33.41,3.0,electronics,in_store,ES,70.0,246.0,
TXN-000170,CUST-0173,2026-06-07,47.6,10.0,restaurants,online,FR,52.0,,SPRING10
TXN-000171,CUST-0312,2026-02-06,22.01,8.0,utilities,online,GB,56.0,3550.0,
TXN-000172,CUST-0268,2026-03-11,39.77,3.0,utilities,in_store,US,46.0,102.0,
TXN-000173,CUST-0244,2026-04-29,28.9,6.0,fuel,in_store,DE,80.0,,
TXN-000174,CUST-0332,2026-06-18,16.67,1.0,healthcare,online,GB,72.0,,
TXN-000175,CUST-0011,2026-03-05,47.03,4.0,healthcare,in_store,,72.0,260.0,
TXN-000176,CUST-0367,2026-04-02,6.43,1.0,restaurants,online,DE,35.0,2401.0,
TXN-000177,CUST-0159,2026-04-07,45.23,2.0,utilities,mobile,,19.0,3147.0,
TXN-000178,CUST-0096,2026-04-05,19.49,3.0,electronics,in_store,GB,,,
TXN-000179,CUST-0205,2026-04-23,10.27,10.0,fuel,online,ES,75.0,,
TXN-000180,CUST-0173,2026-03-07,15.83,7.0,restaurants,online,GB,44.0,898.0,
TXN-000181,CUST-0266,2026-06-15,69.32,2.0,groceries,in_store,NL,80.0,,
TXN-000182,CUST-0336,2026-03-02,42.59,2.0,travel,mobile,DE,,,
TXN-000183,CUST-0085,2026-04-15,35.59,3.0,utilities,online,DE,,,
TXN-000184,CUST-0324,2026-01-19,23.06,5.0,healthcare,online,DE,55.0,4070.0,
TXN-000185,CUST-0312,2026-01-27,98.02,5.0,restaurants,mobile,GB,44.0,1547.0,
TXN-000186,CUST-0154,2026-06-13,5.31,9.0,healthcare,mobile,GB,,3661.0,VIP
TXN-000187,CUST-0169,2026-03-11,25.26,7.0,electronics,in_store,GB,66.0,,
TXN-000188,CUST-0362,2026-05-07,11.84,6.0,restaurants,online,DE,34.0,,
TXN-000189,CUST-0187,2026-02-09,125.0,1.0,utilities,mobile,,47.0,3033.0,
TXN-000190,CUST-0166,2026-04-14,24.38,5.0,healthcare,in_store,DE,39.0,3584.0,
TXN-000191,CUST-0061,2026-01-05,25.36,2.0,fuel,mobile,DE,,,
TXN-000192,CUST-0307,2026-05-01,38.49,4.0,electronics,online,GB,58.0,,
TXN-000193,CUST-0200,2026-06-12,26.01,1.0,fuel,in_store,GB,77.0,1851.0,
TXN-000194,CUST-0140,2026-04-16,31.18,8.0,electronics,online,DE,62.0,,
TXN-000195,CUST-0143,2026-01-29,54.72,2.0,electronics,online,GB,78.0,,VIP
TXN-000196,CUST-0063,2026-04-21,140.2,8.0,travel,online,GB,51.0,,
TXN-000197,CUST-0319,2026-05-09,41.0,9.0,utilities,in_store,US,31.0,714.0,
TXN-000198,CUST-0379,2026-02-07,14.95,10.0,travel,online,DE,,830.0,
TXN-000199,CUST-0332,2026-03-29,20.29,5.0,groceries,in_store,GB,,4644.0,
TXN-000200,CUST-0013,2026-02-21,36.31,4.0,utilities,online,US,45.0,,
TXN-000201,CUST-0112,2026-05-26,18.85,4.0,groceries,online,FR,68.0,493.0,
TXN-000202,CUST-0390,2026-05-21,13.07,7.0,groceries,online,US,76.0,,
TXN-000203,CUST-0235,2026-05-11,6.41,3.0,fuel,online,GB,71.0,,
TXN-000204,CUST-0338,2026-02-13,6.65,9.0,utilities,online,GB,51.0,,
TXN-000205,CUST-0338,2026-05-17,14.38,8.0,restaurants,online,NL,56.0,714.0,
TXN-000206,CUST-0317,2026-01-02,17.17,8.0,electronics,mobile,GB,41.0,,
TXN-000207,CUST-0018,2026-05-16,42.22,8.0,restaurants,online,GB,50.0,,
TXN-000208,CUST-0398,2026-05-12,18.26,4.0,utilities,online,GB,23.0,539.0,
TXN-000209,CUST-0385,2026-03-08,11.93,9.0,groceries,in_store,NL,19.0,,
TXN-000210,CUST-0292,2026-01-18,15.45,2.0,restaurants,online,FR,,,
TXN-000211,CUST-0285,2026-04-18,58.0,4.0,fuel,online,DE,34.0,,SPRING10
TXN-000212,CUST-0017,2026-06-22,6.17,11.0,healthcare,online,US,50.0,4963.0,
TXN-000213,CUST-0204,2026-03-23,17.93,8.0,travel,online,GB,71.0,,
TXN-000214,CUST-0176,2026-05-15,12.69,2.0,fuel,online,GB,19.0,1386.0,
TXN-000215,CUST-0092,2026-01-14,22.18,9.0,utilities,in_store,GB,49.0,,
TXN-000216,CUST-0151,2026-06-21,27.39,11.0,electronics,mobile,US,46.0,,
TXN-000217,CUST-0098,2026-01-15,14.31,5.0,restaurants,online,FR,66.0,,
TXN-000218,CUST-0001,2026-01-03,51.26,4.0,fuel,online,GB,,,
TXN-000219,CUST-0005,2026-04-04,7.5,7.0,healthcare,in_store,GB,68.0,2776.0,
TXN-000220,,,,,,,,,3133.0,
TXN-000221,CUST-0112,2026-01-08,2.64,5.0,electronics,mobile,DE,72.0,2924.0,
TXN-000222,CUST-0093,2026-02-22,50.1,5.0,fuel,in_store,GB,23.0,,
TXN-000223,CUST-0105,2026-01-07,33.55,7.0,groceries,mobile,US,51.0,1622.0,
TXN-000224,CUST-0252,2026-05-28,22.25,4.0,travel,mobile,GB,30.0,4133.0,
TXN-000225,CUST-0042,2026-01-08,78.93,7.0,healthcare,in_store,US,68.0,,
TXN-000226,CUST-0106,2026-05-02,55.29,6.0,electronics,mobile,GB,51.0,1376.0,
TXN-000227,CUST-0379,2026-01-13,25.17,11.0,electronics,online,GB,75.0,2819.0,
TXN-000228,CUST-0242,2026-01-06,18.88,10.0,travel,mobile,ES,51.0,2542.0,
TXN-000229,CUST-0054,2026-05-08,9.77,10.0,electronics,in_store,US,48.0,,
TXN-000230,CUST-0336,2026-02-15,37.61,9.0,fuel,online,US,,,
TXN-000231,CUST-0192,2026-06-19,69.51,7.0,healthcare,mobile,DE,22.0,,
TXN-000232,CUST-0350,2026-06-05,27.74,3.0,restaurants,online,GB,41.0,,
TXN-000233,CUST-0122,2026-05-19,10.36,3.0,groceries,mobile,GB,,58.0,
TXN-000234,CUST-0046,2026-02-18,20.73,7.0,utilities,online,FR,34.0,2255.0,
TXN-000235,CUST-0290,2026-05-23,20.85,10.0,electronics,online,GB,66.0,,
TXN-000236,CUST-0324,2026-04-06,83.45,10.0,restaurants,online,GB,61.0,,
TXN-000237,CUST-0099,2026-03-15,31.34,5.0,fuel,mobile,GB,78.0,4185.0,
TXN-000238,CUST-0278,2026-06-15,16.19,1.0,groceries,online,FR,20.0,1734.0,
TXN-000239,CUST-0139,2026-03-31,11.88,9.0,electronics,mobile,US,29.0,3964.0,
TXN-000240,CUST-0187,2026-06-04,41.52,7.0,restaurants,online,GB,22.0,,
TXN-000241,CUST-0249,2026-04-11,104.79,10.0,electronics,in_store,GB,39.0,,
TXN-000242,CUST-0321,2026-06-13,29.72,4.0,healthcare,in_store,US,41.0,2815.0,
TXN-000243,CUST-0393,2026-06-09,115.23,2.0,utilities,online,NL,30.0,,
TXN-000244,CUST-0176,2026-06-18,25.64,10.0,groceries,in_store,NL,49.0,,
TXN-000245,CUST-0355,2026-01-21,76.73,5.0,travel,online,DE,37.0,,
TXN-000246,CUST-0113,2026-02-06,49.38,5.0,fuel,online,FR,,,
TXN-000247,CUST-0171,2026-05-28,13.14,3.0,travel,in_store,US,43.0,971.0,
TXN-000248,CUST-0112,2026-04-12,15.49,9.0,healthcare,in_store,FR,69.0,,
TXN-000249,CUST-0127,2026-04-22,59.31,1.0,groceries,online,DE,79.0,194.0,
TXN-000250,CUST-0197,2026-03-24,17.23,9.0,groceries,in_store,FR,20.0,4945.0,
TXN-000251,CUST-0177,2026-03-06,10.56,5.0,electronics,mobile,GB,66.0,,
TXN-000252,CUST-0070,2026-04-10,28.96,11.0,healthcare,online,DE,,,
TXN-000253,CUST-0263,2026-04-06,81.22,10.0,electronics,online,,70.0,,
TXN-000254,CUST-0218,2026-05-14,24.83,5.0,fuel,in_store,US,44.0,,
TXN-000255,CUST-0030,2026-06-01,84.08,7.0,utilities,online,US,19.0,,
TXN-000256,,,,,,,,,622.0,
TXN-000257,CUST-0356,2026-01-04,18.68,6.0,electronics,online,GB,22.0,,
TXN-000258,CUST-0226,2026-03-30,13.35,3.0,healthcare,online,NL,46.0,,
TXN-000259,CUST-0279,2026-04-19,71.74,9.0,travel,in_store,DE,53.0,,
TXN-000260,CUST-0389,2026-01-05,42.53,1.0,travel,online,,46.0,3287.0,
TXN-000261,CUST-0296,2026-03-10,12.48,4.0,restaurants,mobile,DE,33.0,630.0,
TXN-000262,CUST-0308,2026-05-10,11.4,1.0,travel,mobile,GB,51.0,,
TXN-000263,CUST-0002,2026-02-22,20.17,9.0,healthcare,online,GB,64.0,2012.0,
TXN-000264,CUST-0107,2026-06-24,21.2,6.0,fuel,online,ES,67.0,,
TXN-000265,CUST-0006,2026-02-02,59.07,4.0,fuel,in_store,US,21.0,,
TXN-000266,CUST-0035,2026-05-13,31.33,7.0,electronics,online,US,64.0,657.0,
TXN-000267,CUST-0009,2026-03-12,27.39,7.0,groceries,in_store,,76.0,1446.0,
TXN-000268,CUST-0022,2026-03-19,10.86,7.0,healthcare,mobile,US,,2455.0,
TXN-000269,CUST-0386,2026-06-05,13.81,1.0,electronics,online,US,77.0,4519.0,
TXN-000270,CUST-0199,2026-04-05,6.27,3.0,fuel,online,FR,38.0,1917.0,
TXN-000271,CUST-0380,2026-06-05,6.06,10.0,electronics,in_store,ES,,,
TXN-000272,CUST-0375,2026-04-23,29.86,4.0,utilities,in_store,GB,52.0,,
TXN-000273,,,,,,,,,,
TXN-000274,CUST-0340,2026-04-10,52.58,1.0,travel,online,GB,,,
TXN-000275,CUST-0267,2026-06-03,18.47,2.0,fuel,in_store,US,,2729.0,
TXN-000276,CUST-0249,2026-04-25,34.3,6.0,healthcare,mobile,NL,18.0,319.0,
TXN-000277,CUST-0003,2026-05-19,16.31,9.0,fuel,in_store,NL,78.0,,
TXN-000278,,,,,,,,,1098.0,
TXN-000279,CUST-0098,2026-01-08,24.64,11.0,healthcare,online,GB,28.0,,
TXN-000280,CUST-0021,2026-05-31,9.58,3.0,restaurants,online,GB,,3885.0,
TXN-000281,CUST-0301,2026-06-05,22.88,4.0,restaurants,mobile,GB,71.0,315.0,
TXN-000282,CUST-0059,2026-04-17,22.22,11.0,restaurants,online,GB,56.0,1866.0,VIP
TXN-000283,CUST-0017,2026-06-09,15.75,3.0,healthcare,in_store,GB,,,
TXN-000284,CUST-0234,2026-04-16,17.98,8.0,travel,online,ES,20.0,2599.0,SPRING10
TXN-000285,CUST-0198,2026-06-14,21.71,3.0,groceries,mobile,NL,74.0,662.0,
TXN-000286,CUST-0291,2026-04-02,13.17,7.0,fuel,online,US,25.0,,
TXN-000287,CUST-0021,2026-06-09,55.03,1.0,travel,online,GB,55.0,2920.0,
TXN-000288,CUST-0143,2026-03-18,65.48,8.0,utilities,online,US,,,VIP
TXN-000289,,,,,,,,,2902.0,
TXN-000290,CUST-0101,2026-06-10,25.18,4.0,travel,online,US,,3271.0,
TXN-000291,CUST-0162,2026-03-20,13.95,5.0,groceries,in_store,GB,,,
TXN-000292,CUST-0287,2026-06-22,19.06,10.0,utilities,in_store,DE,43.0,3609.0,
TXN-000293,CUST-0346,2026-03-13,53.96,4.0,healthcare,mobile,DE,59.0,,
TXN-000294,CUST-0168,2026-02-04,11.0,10.0,utilities,in_store,US,,4659.0,
TXN-000295,CUST-0091,2026-04-30,15.17,5.0,healthcare,in_store,ES,,,
TXN-000296,CUST-0219,2026-01-26,4.99,4.0,electronics,online,DE,70.0,2188.0,
TXN-000297,CUST-0197,2026-03-19,9.41,5.0,utilities,in_store,GB,,,
TXN-000298,CUST-0205,2026-02-15,71.91,6.0,healthcare,in_store,GB,47.0,1619.0,
TXN-000299,CUST-0211,2026-02-16,42.58,4.0,healthcare,in_store,GB,56.0,,
TXN-000300,CUST-0247,2026-06-28,28.02,1.0,electronics,online,NL,58.0,,
TXN-000301,CUST-0027,2026-03-20,8.94,9.0,restaurants,mobile,FR,31.0,45.0,
TXN-000302,CUST-0030,2026-02-17,13.93,4.0,travel,in_store,GB,,569.0,
